№,Секунда,Микросекунда
1,32,929118
2,32,939403
3,32,949774
4,32,960008
5,32,970432
6,32,980765
7,32,991228
8,33,1878
9,33,12214
10,33,22395
11,33,32745
12,33,43339
13,33,53972
14,33,64426
15,33,74602
16,33,85160
17,33,95499
18,33,105740
19,33,116114
20,33,126446
21,33,136830
22,33,147423
23,33,157632
24,33,167780
25,33,178089
26,33,188370
27,33,198590
28,33,209209
29,33,219777
30,33,230131
31,33,240305
32,33,250898
33,33,261167
34,33,271738
35,33,282390
36,33,292879
37,33,303251
38,33,313645
39,33,323828
40,33,334272
41,33,344724
42,33,354987
43,33,365496
44,33,375607
45,33,385999
46,33,396330
47,33,406732
48,33,417034
49,33,427397
50,33,437520
51,33,447705
52,33,458230
53,33,468524
54,33,478950
55,33,489391
56,33,499525
57,33,509864
58,33,520070
59,33,530357
60,33,540535
61,33,551093
62,33,561546
63,33,571889
64,33,582024
65,33,592270
66,33,602848
67,33,613005
68,33,623198
69,33,633548
70,33,644064
71,33,654294
72,33,664874
73,33,675280
74,33,685628
75,33,695993
76,33,706166
77,33,716413
78,33,726512
79,33,736900
80,33,747560
81,33,757988
82,33,768248
83,33,778719
84,33,789218
85,33,799361
86,33,809496
87,33,819829
88,33,830185
89,33,840347
90,33,850829
91,33,861341
92,33,871806
93,33,882431
94,33,892981
95,33,903676
96,33,914337
97,33,924715
98,33,935091
99,33,945249
100,33,955851
101,33,966202
102,33,976377
103,33,987013
104,33,997846
105,34,8291
106,34,18964
107,34,29344
108,34,46585
109,34,65790
110,34,76622
111,34,88719
112,34,107921
113,34,118443
114,34,128900
115,34,139111
116,34,149431
117,34,160596
118,34,171125
119,34,181728
120,34,192586
121,34,203120
122,34,213654
123,34,224162
124,34,234373
125,34,244823
126,34,255364
127,34,265627
128,34,275773
129,34,285998
130,34,296150
131,34,306364
132,34,317340
133,34,327941
134,34,338419
135,34,348969
136,34,359297
137,34,369504
138,34,380090
139,34,390674
140,34,400984
141,34,411353
142,34,421727
143,34,432052
144,34,442233
145,34,452744
146,34,463226
147,34,473654
148,34,484053
149,34,494584
150,34,504751
151,34,515019
152,34,525484
153,34,535967
154,34,546176
155,34,556329
156,34,566795
157,34,577408
158,34,587612
159,34,598189
160,34,608731
161,34,619282
162,34,629855
163,34,640273
164,34,650697
165,34,660927
166,34,671351
167,34,681637
168,34,691753
169,34,701949
170,34,712172
171,34,722385
172,34,732826
173,34,743159
174,34,753660
175,34,763964
176,34,774329
177,34,784779
178,34,795365
179,34,805830
180,34,816192
181,34,826806
182,34,837141
183,34,847541
184,34,857912
185,34,868381
186,34,878659
187,34,888903
188,34,899333
189,34,909474
190,34,919726
191,34,929899
192,34,940291
193,34,950509
194,34,961099
195,34,971265
196,34,981860
197,34,992070
198,35,2277
199,35,12854
200,35,23043
201,35,33521
202,35,43613
203,35,54449
204,35,64643
205,35,74928
206,35,85504
207,35,96070
208,35,106152
209,35,116485
210,35,127260
211,35,137898
212,35,148253
213,35,158809
214,35,168928
215,35,179262
216,35,189354
217,35,199553
218,35,210144
219,35,220373
220,35,230855
221,35,241362
222,35,251942
223,35,262310
224,35,272761
225,35,283021
226,35,293344
227,35,303465
228,35,313877
229,35,324310
230,35,334868
231,35,345474
232,35,355649
233,35,366106
234,35,376970
235,35,387175
236,35,397714
237,35,408301
238,35,418949
239,35,429314
240,35,439432
241,35,449885
242,35,460177
243,35,470622
244,35,480759
245,35,490889
246,35,501422
247,35,511958
248,35,522360
249,35,532621
250,35,543047
251,35,553516
252,35,563824
253,35,574395
254,35,584942
255,35,595172
256,35,605559
257,35,616053
258,35,626388
259,35,636873
260,35,647572
261,35,657907
262,35,668203
263,35,678478
264,35,688827
265,35,699031
266,35,709431
267,35,719690
268,35,729842
269,35,740289
270,35,750604
271,35,760753
272,35,770883
273,35,781313
274,35,791734
275,35,802013
276,35,812936
277,35,823117
278,35,833613
279,35,844211
280,35,854528
281,35,864894
282,35,875134
283,35,885381
284,35,895667
285,35,905885
286,35,916738
287,35,927318
288,35,937550
289,35,948032
290,35,958222
291,35,968563
292,35,978954
293,35,989711
294,35,999850
295,36,10463
296,36,21033
297,36,31297
298,36,41866
299,36,52191
300,36,62327
